,Ticker,FiscalYear,CashFlow,BookValue,Earnings,5YrReturn%
1540,MHK,2022-12-31,669153000.0,8011509000.0,25247000.0,-62.95034432765495
1541,MHK,2021-12-31,1309119000.0,8421425000.0,1033159000.0,-8.764022435897436
1542,MHK,2020-12-31,1769839000.0,8534316000.0,515595000.0,-25.576851998521573
1543,MHK,2019-12-31,1418761000.0,8119841000.0,744211000.0,-12.216786817713707
1544,MHK,2018-12-31,1181344000.0,7433814000.0,861704000.0,-21.450638012088657
1545,MOH,2022-12-31,773000000.0,2964000000.0,792000000.0,330.6468440271257
1546,MOH,2021-12-31,2119000000.0,2630000000.0,659000000.0,486.21452266863247
1547,MOH,2020-12-31,1898000000.0,2096000000.0,673000000.0,253.70031598203892
1548,MOH,2019-12-31,434000000.0,1960000000.0,737000000.0,153.4840276480478
1549,MOH,2018-12-31,-314000000.0,1647000000.0,707000000.0,234.44604316546761
1550,TAP,2022-12-31,1502000000.0,12689700000.0,-175300000.0,-29.514577927034054
1551,TAP,2021-12-31,1573500000.0,13417100000.0,1005700000.0,-47.076267701575375
1552,TAP,2020-12-31,1695700000.0,12365000000.0,-949000000.0,-46.42605098788717
1553,TAP,2019-12-31,1897300000.0,13419400000.0,241700000.0,-18.698458837394654
1554,TAP,2018-12-31,2331300000.0,13507400000.0,1116500000.0,10.824351060982947
1555,MDLZ,2022-12-31,3908000000.0,26883000000.0,2717000000.0,74.0196117040129
1556,MDLZ,2021-12-31,4141000000.0,28269000000.0,4300000000.0,66.39933028101326
1557,MDLZ,2020-12-31,3964000000.0,27578000000.0,3555000000.0,44.37510878799137
1558,MDLZ,2019-12-31,3965000000.0,27241000000.0,3929000000.0,66.79729236702889
1559,MDLZ,2018-12-31,3948000000.0,25637000000.0,3317000000.0,24.219362135571746
1560,MPWR,2022-12-31,246674000.0,1668602000.0,437672000.0,228.3482061860274
1561,MPWR,2021-12-31,320010000.0,1243985000.0,242023000.0,528.3639730704682
1562,MPWR,2020-12-31,267803000.0,966587000.0,164375000.0,503.09989363765897
1563,MPWR,2019-12-31,216303000.0,773491000.0,108839000.0,277.87849737947886
1564,MPWR,2018-12-31,141451000.0,640093000.0,105268000.0,253.82960019912852
1565,MNST,2022-12-31,887699000.0,7025041000.0,1191624000.0,60.42028756517618
1566,MNST,2021-12-31,1155741000.0,6566951000.0,1377475000.0,116.59900766801985
